product_name,category,stock_level,cost_price,shipping_cost_buffer
AeroPulse Earbuds,Electronics,42,34.99,3.5
NovaCharge Power Bank,Electronics,28,19.5,2.1
LumaDesk Lamp,Home Goods,55,22.75,2.8
CloudNest Blanket,Home Goods,31,18.2,2.5
StrideFlex Joggers,Apparel,47,16.9,2.0
PeakTrail Backpack,Apparel,22,39.0,3.9
BrewMaster Kettle,Home Goods,19,27.4,3.2
WaveSound Speaker,Electronics,33,44.6,4.1
UrbanFit Tee,Apparel,64,9.8,1.4
PureSip Bottle,Home Goods,71,12.5,1.9
VoltSync Charger,Electronics,39,15.7,1.8
CozyWeave Hoodie,Apparel,26,24.3,2.7
GlowLite Strip,Electronics,58,11.2,1.6
SlateServe Tray,Home Goods,24,14.9,2.2
MotionCore Watchband,Apparel,36,13.4,1.7
